source_route_id	source_url	restricted_relative_path	sha256	byte_count	acquisition_cursor
route.coe.post40k-archive-continuation	https://farmdirectory.cupofexcellence.org/listings/page/100/	restricted://post40k_extension/raw/coe-archive/listings-page-100.html	c35a791ebb315b5c42575c5cfd2b9ffa131d58eac32b72e8ec5c0eb66991f45a	128226	archive-page=100
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/2-la-lucuma-peru-2023/	restricted://post40k_extension/raw/coe-detail/98cf8cad696afaa6acca7cd9.html	7bed2dc484c8d14c4e5232a85a8dca65063ecf2984f7abcfaa65c3cb51e889a0	138617	archive-page=100;detail-index=3;url=https://farmdirectory.cupofexcellence.org/listing/2-la-lucuma-peru-2023/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/3-chiriloma-peru-2023/	restricted://post40k_extension/raw/coe-detail/9298779636e28f52c3e3e8a1.html	8094f2e079458356668040a59a76dd128b8bf20064a05034517bdb16148f4e2e	131523	archive-page=100;detail-index=4;url=https://farmdirectory.cupofexcellence.org/listing/3-chiriloma-peru-2023/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/4-pedregal-peru-2023/	restricted://post40k_extension/raw/coe-detail/f121ef704686f608653f5827.html	99514a783d19f5b655239de8281721ec0252d616e448098a277c5dc2cb12cb91	133536	archive-page=100;detail-index=5;url=https://farmdirectory.cupofexcellence.org/listing/4-pedregal-peru-2023/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/5-randu-peru-2023/	restricted://post40k_extension/raw/coe-detail/72a1ed05ad624b6caf38677c.html	24fcce5af23a3c1e47b18ddcdfb3a14fc45e774515eb1d38730787e2a3fcf587	132811	archive-page=100;detail-index=6;url=https://farmdirectory.cupofexcellence.org/listing/5-randu-peru-2023/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/6-llactapata-peru-2023/	restricted://post40k_extension/raw/coe-detail/d5d8a2308d7df962fc7a3534.html	612210b4a9dda40d42181d42ad2ba38c969f548c350ec6243c64962a6f1725ff	132429	archive-page=100;detail-index=7;url=https://farmdirectory.cupofexcellence.org/listing/6-llactapata-peru-2023/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/7-el-pino-peru-2023/	restricted://post40k_extension/raw/coe-detail/16b1011d5cbede381bfde854.html	22dc8e107b755a646e743f7e9d7627860ba4bbd99e3c4bd9f006aea1f0e660ff	136979	archive-page=100;detail-index=8;url=https://farmdirectory.cupofexcellence.org/listing/7-el-pino-peru-2023/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/8-bello-horizonte-peru-2023/	restricted://post40k_extension/raw/coe-detail/2524e36738dd612c2cd0ef93.html	580fc534d29d1e9dda1f4baf2e69ae59da51cadf90360e00c0752f01e9788fc2	137115	archive-page=100;detail-index=9;url=https://farmdirectory.cupofexcellence.org/listing/8-bello-horizonte-peru-2023/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/9-nueva-alianza-peru-2023/	restricted://post40k_extension/raw/coe-detail/ad83e3ad8d7461e2bb713511.html	cfe5aa10c28a9b9258afd27f642a0de85a0bd96fb74af89870691f1f5180a4eb	135459	archive-page=100;detail-index=10;url=https://farmdirectory.cupofexcellence.org/listing/9-nueva-alianza-peru-2023/
route.coe.post40k-archive-continuation	https://farmdirectory.cupofexcellence.org/listings/page/101/	restricted://post40k_extension/raw/coe-archive/listings-page-101.html	151d7139bd45a3eb588b3ecc231a2d7eb5b53526f8bf5d4627facf738af83d55	128187	archive-page=101
