source_route_id	source_url	restricted_relative_path	sha256	byte_count	acquisition_cursor
route.coe.post50k-archive-continuation	https://farmdirectory.cupofexcellence.org/listings/page/142/	restricted://batch7_acquisition/post50k_extension/raw/coe-archive/listings-page-142.html	b1becec61552ee36fc50ea429899d50204f58157b007bc3fb4670a93b76c6e4f	126114	archive-page=142
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/fc231c528f4517913f9b485d.html	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	126837	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/aman-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/d6b551898ce782f91857f583.html	373fa4eb2e9c6f82660b4d92b86411b855b2e67a4de44986f7857c7a9d476405	125239	archive-page=142;detail-index=3;url=https://farmdirectory.cupofexcellence.org/listing/aman-ethiopia-2022/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/dush-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/0150e28d50f6f4bca6dc7f39.html	71632e83338d10132c29b5b68a782a8b7cb1d6abe15a57a20c25e948653e03d7	129210	archive-page=142;detail-index=4;url=https://farmdirectory.cupofexcellence.org/listing/dush-ethiopia-2022/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/muluneh-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/2785f06e4f0827620f180cd5.html	3ce2aeda88440c3886982262d468d6159c227d252f3c42c0436141e111a75375	129405	archive-page=142;detail-index=5;url=https://farmdirectory.cupofexcellence.org/listing/muluneh-ethiopia-2022/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/nare-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/b67a99f0f426ad9d14cbc0f9.html	b638dfa1d797afe1c91246132d4ce5e4161cee768f348eb2daac4eae9d61e9ad	129791	archive-page=142;detail-index=6;url=https://farmdirectory.cupofexcellence.org/listing/nare-ethiopia-2022/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/samuel-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/5e60c8b6b6a76f48ca76adc8.html	e19395fd3a6d999b130d242842cff7722101d61d91d12c7938ef8426ecbcc5ce	129652	archive-page=142;detail-index=7;url=https://farmdirectory.cupofexcellence.org/listing/samuel-ethiopia-2022/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/tilahune-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/6dfbc1956c651e4823ac6283.html	dac5faa44f32333a469b7c1078d162d0aa42cccd642e359b0533f988075f4399	129884	archive-page=142;detail-index=8;url=https://farmdirectory.cupofexcellence.org/listing/tilahune-ethiopia-2022/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/wolde-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/4e4ce9aea8eb1414ed6f0d05.html	aa74a713c92489386e0dfc1d2578d8489a9eb59fe31c522ebf5444f6dea650dc	129979	archive-page=142;detail-index=9;url=https://farmdirectory.cupofexcellence.org/listing/wolde-ethiopia-2022/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/yosefe-kasaye-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/986940e2d0b1571a58cb79c3.html	8891aaa6e15ea1b9af4368c3325a2bb0b0bb7717fa057cc90e1c2feb5ebbadf9	127315	archive-page=142;detail-index=10;url=https://farmdirectory.cupofexcellence.org/listing/yosefe-kasaye-ethiopia-2022/
route.coe.post50k-archive-continuation	https://farmdirectory.cupofexcellence.org/listings/page/143/	restricted://batch7_acquisition/post50k_extension/raw/coe-archive/listings-page-143.html	fb23b09ab52e71fa622018b51ade0d2fabe63e225d20936384a313506e990b56	126537	archive-page=143
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/a-temam-ethiopia-2022/	restricted://batch7_acquisition/post50k_extension/raw/coe-detail/e211e87ea3c7579b7cf0a692.html	ffad138537c7c32f6c386a47ddf4c1eb4458fbfef6f96900fdf127dbdb3ec906	129904	archive-page=143;detail-index=1;url=https://farmdirectory.cupofexcellence.org/listing/a-temam-ethiopia-2022/
