publisher_key	source_policy_key	external_publisher_key	name	domain	roaster_country_code	metadata
publisher.firstbloom.94	source_policy.firstbloom.a6cb002.derived_terms	94	Tim Wendelboe	timwendelboe.no		"{""firstbloom_roaster_id"":""94"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Tim Wendelboe"",""source_name"":""tim wendelboe"",""website"":""https://timwendelboe.no/""}"
publisher.firstbloom.95	source_policy.firstbloom.a6cb002.derived_terms	95	Regalia Company	regaliacompany.com		"{""firstbloom_roaster_id"":""95"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Regalia Company"",""source_name"":""regalia company"",""website"":""https://regaliacompany.com/""}"
publisher.firstbloom.96	source_policy.firstbloom.a6cb002.derived_terms	96	Coffee Manufactory	www.coffeemanufactory.com		"{""firstbloom_roaster_id"":""96"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Coffee Manufactory"",""source_name"":""coffee manufactory"",""website"":""https://www.coffeemanufactory.com""}"
publisher.firstbloom.97	source_policy.firstbloom.a6cb002.derived_terms	97	No6 Coffee Co.	no6coffee.co		"{""firstbloom_roaster_id"":""97"",""iana_timezone"":""America/Vancouver"",""roaster_country_not_inferred"":true,""source_label"":""No6 Coffee Co."",""source_name"":""no6 coffee co."",""website"":""https://no6coffee.co/""}"
publisher.firstbloom.98	source_policy.firstbloom.a6cb002.derived_terms	98	Prairie Lily	www.prairielilycoffee.com		"{""firstbloom_roaster_id"":""98"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Prairie Lily"",""source_name"":""prairie lily"",""website"":""https://www.prairielilycoffee.com/""}"
publisher.firstbloom.99	source_policy.firstbloom.a6cb002.derived_terms	99	Sweet Bloom Coffee Roasters	sweetbloomcoffee.com		"{""firstbloom_roaster_id"":""99"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Sweet Bloom Coffee Roasters"",""source_name"":""sweet bloom coffee roasters"",""website"":""https://sweetbloomcoffee.com/""}"
publisher.firstbloom.100	source_policy.firstbloom.a6cb002.derived_terms	100	Augies Coffee Roasters	augies.coffee		"{""firstbloom_roaster_id"":""100"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Augies Coffee Roasters"",""source_name"":""augies coffee roasters"",""website"":""https://augies.coffee/""}"
publisher.firstbloom.101	source_policy.firstbloom.a6cb002.derived_terms	101	Escape Coffee Roasters	www.escape.cafe		"{""firstbloom_roaster_id"":""101"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Escape Coffee Roasters"",""source_name"":""escape coffee roasters"",""website"":""https://www.escape.cafe""}"
publisher.firstbloom.102	source_policy.firstbloom.a6cb002.derived_terms	102	The Colombian Mountain Coffee	www.thecolombian.ca		"{""firstbloom_roaster_id"":""102"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""The Colombian Mountain Coffee"",""source_name"":""the colombian mountain coffee"",""website"":""https://www.thecolombian.ca/""}"
publisher.firstbloom.103	source_policy.firstbloom.a6cb002.derived_terms	103	Rogue Wave	www.roguewavecoffee.ca		"{""firstbloom_roaster_id"":""103"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Rogue Wave"",""source_name"":""rogue wave"",""website"":""https://www.roguewavecoffee.ca""}"
