candidate_key	candidate_inventory_sha256	normalized_expression_sha256	raw_variant_count	occurrence_count	document_count	raw_surface_hash_inventory_sha256	source_document_inventory_sha256	candidate_text_retained
round3i.firstbloom.sha256_02587876979917e4d3aa757ee7af8a7d1ebc2a325aaa1145a2ed5ac6291ff4ee	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	02587876979917e4d3aa757ee7af8a7d1ebc2a325aaa1145a2ed5ac6291ff4ee	1	1	1	4f9d4d7ad98ba594dbeef0a2fde98dbe886ded06ee2eeab64d55a36ddd6795aa	57e6dae8980670613e02c44e03ee77e156cdc79604c5aec0ae9e10db4aa70244	false
round3i.firstbloom.sha256_02979a67c5cb594c7711fe7cfc7cc6f242cc0589c0cc5b302c10aa1b591faa78	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	02979a67c5cb594c7711fe7cfc7cc6f242cc0589c0cc5b302c10aa1b591faa78	1	1	1	f9af979ba3228c67499290ee68022d32ff1dc266bed96843f5f577e567aefca5	fea91a6735d59b7b4cf28845fc3f94eab600ae7a2dbe0b3756ab5a32b25db90e	false
round3i.firstbloom.sha256_02b2dedc9bf400171b9a8fade1e6cd7cdaa8ba6eeddaf42b1a4658218f624c4e	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	02b2dedc9bf400171b9a8fade1e6cd7cdaa8ba6eeddaf42b1a4658218f624c4e	1	1	1	dc852c1c428dd51126ad4525003a06ca51c3dd17543aa9d8420f7d474ef78c43	b2bc4521376408c6d06a6884a0b652b550fd6bb5312af4bc9b40999862d1e594	false
round3i.firstbloom.sha256_039593ca2213a3a945122952a0eb7c6adc529e90306cadf334d77c9e73edb293	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	039593ca2213a3a945122952a0eb7c6adc529e90306cadf334d77c9e73edb293	1	1	1	9310b5857d5a14923393dd9cf960ccc8c51b54dc8c6229c3fd240c79272314f2	b8168c35930fe4be056285680f394d3a48df06e26e483fa27bac8c15dc9a5420	false
round3i.firstbloom.sha256_039c8a098ec2f80deb6d2dbbb9c5b9105c2b045b0041830f154023249ae868ec	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	039c8a098ec2f80deb6d2dbbb9c5b9105c2b045b0041830f154023249ae868ec	1	1	1	9a7e2da25c552da9c4f116850c047b84aaf3d12aa9fdb63c65a313872c7391f5	94c1c7c05180d2a3bcd675a6d851da155cc8f64e919da3fcdb342dfd27e10f1d	false
round3i.firstbloom.sha256_03d92f41d72bcf00dd8b223560ff5900cb1839373d0fc643b86cae8ecd4e128f	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	03d92f41d72bcf00dd8b223560ff5900cb1839373d0fc643b86cae8ecd4e128f	1	1	1	da5b3c03f7867aac133114032fdb9380d4f05b17c43d6495cb2565ab4ea4d5bb	8ef9764d0e06b1744bcad807592dd3472eb91e75634b801d3a28df0734918459	false
round3i.firstbloom.sha256_04416cbe198f8e9dc58938f0f7c2d85a4aa1dc8c355881ecb7bb4fb869f1a947	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	04416cbe198f8e9dc58938f0f7c2d85a4aa1dc8c355881ecb7bb4fb869f1a947	1	1	1	c792af02f2f0c0ef01952486d7f8eecdcb84eeebf2cf00b9f7f46e61c6f53fda	8b4bc0828bb90658dc02d90e50545317ccd0e15520c64f992c248ad1d12c64f9	false
round3i.firstbloom.sha256_044f34f8d3d6d3fdc4e8f44172731d38d13c489de56c940fef3a9b129b063bf0	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	044f34f8d3d6d3fdc4e8f44172731d38d13c489de56c940fef3a9b129b063bf0	1	1	1	1954df35d459c96b026d980a64dc1bff0fb7b41548b0c330145b7d4d0179c2ca	66ed17bdbcac07837817f141c248c9e1e7f76df287b2ebdad80956785c1c8ee7	false
round3i.firstbloom.sha256_04b78225feaacf931f22ec5bfe6156098566cdeac911bd4cc9c7f4817a471c1d	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	04b78225feaacf931f22ec5bfe6156098566cdeac911bd4cc9c7f4817a471c1d	1	1	1	80334ab053737a61cc804657ca599c699a44b134397979309e496f42619ec0e3	f5f80a6246230189fc840c8a27f084d3bb5e4aef40cebcd66c41c6ecf86f337d	false
round3i.firstbloom.sha256_04c5d15f41dbf168c0595d3282e1372eb08cd2e01ec9a70e5a8f54a9160f9985	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	04c5d15f41dbf168c0595d3282e1372eb08cd2e01ec9a70e5a8f54a9160f9985	1	1	1	9b0b77971669b2e2b7a52287348ea3c56ad574476bfed0c95361449b4d3785ed	e47b811f613d55296d61e67a007841536972a21c5d2eb2f9f08d4e67652112e5	false
round3i.firstbloom.sha256_04dc445864e8cd56f7c7739b625b77a3889847ca59b6fb38b436f76cc5de459f	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	04dc445864e8cd56f7c7739b625b77a3889847ca59b6fb38b436f76cc5de459f	1	1	1	171ab469bc07fe24df2570a1ec3a1c701a43a0149d73b20bb5754e68cf426116	674475ed7770a922dbc4ebd9f308ad8ac19af0cda57bf497f6a421a92f8b6251	false
round3i.firstbloom.sha256_04f1cc9ff34f24000eb57c6607668b0122a01265a69c873b37ab2d6210e12215	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	04f1cc9ff34f24000eb57c6607668b0122a01265a69c873b37ab2d6210e12215	1	1	1	fbc04c40072651307e3d51204347567d670cd8a6c0b194a5569e0ce41079c75e	14df011aaa7d624ef5911f4c52f723078b0fa386f6ad2ed34d460bcb5007082a	false
round3i.firstbloom.sha256_0634b00f6213d5e1209cd862cb83303157945994b67d6869de81c2da99aee190	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0634b00f6213d5e1209cd862cb83303157945994b67d6869de81c2da99aee190	1	1	1	df0638235e9baabaa837ebfe9f7106524753a87e047b4934c1710fba1a88c344	1414195a332acb5c72639ec7d663a461aa522e5a1b0b34630c2b5cc973e77b70	false
round3i.firstbloom.sha256_065e6be74da9e38570a961bb86aa140808096e4af55fbdc9cdfd4bda1004bf1e	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	065e6be74da9e38570a961bb86aa140808096e4af55fbdc9cdfd4bda1004bf1e	1	1	1	94503f3c4e1120213e7e13e6c21fedc0488112fe71e66a216ea1c4570c8aa242	c78d386bd0ade736bb6c6f22faa9c884ade27ed60408438f8ac979d1140e28a8	false
