entity_resolution_id	old_domain_source_url	old_domain_record_id	old_domain_year	old_domain_name_sha256	old_domain_descriptor_field_hash_bundle	new_domain_source_url	new_domain_effective_record_id	new_domain_year	new_domain_descriptor_field_hash_bundle	match_score	match_state	decision_basis	review_requirement
coe-entity-candidate:04ecd86a235efe7377e6da97	https://allianceforcoffeeexcellence.org/farm-directory/86-73/	coe-colombia-south-2008-el-vergel-86-73	2008	a81bedfc5610b140c023be2b2e5964513a5227174590869a6ddbdee6ad320d6d	066a410d4c4f0d4ea2d06ca7cadbf481fe2173f5300ecc9004a279dd4a3051aa	https://farmdirectory.cupofexcellence.org/listing/2008-el-salvador-90-88/	effective-b2:e52eb8288949e51c8d0890f2	2008	c0b9e0ac95f37b37ae3d3a87d723c4f803078e7bca10c45bd0e0738835b9450e	0.650000	INSUFFICIENT_IDENTITY_EVIDENCE	YEAR_NAME_SLUG_AND_DESCRIPTOR_HASH_BUNDLE_NO_URL_ONLY_IDENTITY	MACHINE_PROVISIONAL_REVIEW
coe-entity-candidate:da19a3e74f7d0c708c1c90f3	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	coe-colombia-south-2008-la-esperanza-87-18	2008	30506848cc270c41abf7b4221aa199dd0d49dea08f867f5e7aeb935b64bf0640	0c2ccb5d7f3e7adb697d69420a2d92a25e3c0eb73ff06bbeb625848b6e8f855f	https://farmdirectory.cupofexcellence.org/listing/la-salsa-honduras-2022/	effective-b2:6e0fcaf5fde0041317f7c4e0	2022	1ab6e42c3471bc4983b2267c76a0b573b82b90f24536236ee1cd06672667e28a	0.350000	INSUFFICIENT_IDENTITY_EVIDENCE	YEAR_NAME_SLUG_AND_DESCRIPTOR_HASH_BUNDLE_NO_URL_ONLY_IDENTITY	MACHINE_PROVISIONAL_REVIEW
coe-entity-candidate:4b093c2beccb0d6d484d8721	https://allianceforcoffeeexcellence.org/farm-directory/88-62-5/	coe-honduras-2017-el-cedro	2017	d8ef940938d19eb924293e26aacf0fa473930f8db5fd15b6536210faf2415ece	5a843420ae7993b4e04fb7af8e50d02d07a5ec779604b6ec9e70e765e039ede9	https://farmdirectory.cupofexcellence.org/listing/2017-el-salvador-89-96-2/	effective-b2:36ca33d3a721da158501f107	2017	a2a461bd372ed049b0b031375eb77183b26d15f6cf1294351543f991eb89e6ad	0.650000	INSUFFICIENT_IDENTITY_EVIDENCE	YEAR_NAME_SLUG_AND_DESCRIPTOR_HASH_BUNDLE_NO_URL_ONLY_IDENTITY	MACHINE_PROVISIONAL_REVIEW
coe-entity-candidate:9444c9a67ee034ac2bd3fe52	https://allianceforcoffeeexcellence.org/farm-directory/91-81-2/	coe-honduras-2017-el-laurel	2017	3e189e90144a2c2dfeeb3c8e34a48c9f877e79315b9e03cafc975be33b60ee3c	bf9e705f2fb732a6f54f8857ce46d2fffc2110d8a501b96ccb917d2ab8e73e60	https://farmdirectory.cupofexcellence.org/listing/6-el-laurel-honduras-2026-parainema-catracha/	effective-b2:48704c027e21419a366eed29	2026	15a47da1148f54fb829ac4533e5606e936ed67dc6d3ff94deec3cf6b2b6cff9d	0.700000	DISTINCT_ROUND_OR_SERVICE	YEAR_NAME_SLUG_AND_DESCRIPTOR_HASH_BUNDLE_NO_URL_ONLY_IDENTITY	AUTOMATED_SAFE_RULE
coe-entity-candidate:9f012dcb151e200af93527b5	https://allianceforcoffeeexcellence.org/farm-directory/89-22-4/	coe-honduras-2017-el-liquidambo	2017	172f23740dbf36f72217208db736b4cad80c385df9379348c0d140aa0df38b58	e4bf17dc42815877ac598284010ac1ba054b98d63dcb76faa73fc47b7055b446	https://farmdirectory.cupofexcellence.org/listing/2017-el-salvador-89-96-2/	effective-b2:36ca33d3a721da158501f107	2017	a2a461bd372ed049b0b031375eb77183b26d15f6cf1294351543f991eb89e6ad	0.650000	INSUFFICIENT_IDENTITY_EVIDENCE	YEAR_NAME_SLUG_AND_DESCRIPTOR_HASH_BUNDLE_NO_URL_ONLY_IDENTITY	MACHINE_PROVISIONAL_REVIEW
coe-entity-candidate:eb7684396f9b173d73c06fb3	https://allianceforcoffeeexcellence.org/farm-directory/88-00-5/	coe-honduras-2017-el-roblar	2017	3c476bf85f3beeacbe472d800034aba3aa3c3612dc0934a781e2f39f370a196c	683a511a41c9cf8d455b45e1eeae3679d857ed07e37dabd66bd7d73ddc3aba0d	https://farmdirectory.cupofexcellence.org/listing/2017-el-salvador-89-96-2/	effective-b2:36ca33d3a721da158501f107	2017	a2a461bd372ed049b0b031375eb77183b26d15f6cf1294351543f991eb89e6ad	0.650000	INSUFFICIENT_IDENTITY_EVIDENCE	YEAR_NAME_SLUG_AND_DESCRIPTOR_HASH_BUNDLE_NO_URL_ONLY_IDENTITY	MACHINE_PROVISIONAL_REVIEW
coe-entity-candidate:1fd485015230f6c872461f08	https://allianceforcoffeeexcellence.org/farm-directory/88-76-5/	coe-honduras-2017-la-colmena	2017	ffdb7d3cd3f3784f3b97f271895bb981d18b6fe07a016d5561aef3bd61b35221	09ecbee68a736979c0599965171773d009dc67273bc3a8272562689dedd71cf4	https://farmdirectory.cupofexcellence.org/listing/la-salsa-honduras-2022/	effective-b2:6e0fcaf5fde0041317f7c4e0	2022	1ab6e42c3471bc4983b2267c76a0b573b82b90f24536236ee1cd06672667e28a	0.350000	INSUFFICIENT_IDENTITY_EVIDENCE	YEAR_NAME_SLUG_AND_DESCRIPTOR_HASH_BUNDLE_NO_URL_ONLY_IDENTITY	MACHINE_PROVISIONAL_REVIEW
