Source,Type,Roast,Extraction,Stat,Other,Units,Citric,Formic,Malic,Pyruvic,Quinic,Succinic,Acetic,Oxalic,Fumaric,Tartaric,Lactic,Glycolic,Nitric,Mesaconic ,Maleic,Isocitric,Citraconic,Propionic,2-Furoic ,Pyroglutamic,Phosphoric,Levulinic Acid,Methylsuccinic,Nicotinic,Ascorbic,Hydroxybenzoic,Total,Notes , , , , , , , , , , 
Verardo et al. (2002),Arabica,Unspecified,Immersion,mean,,mg/kg,7511.02,1635.17,2333.90,,5597.84,188.78,4757.07,,,,1504.00,1607.45,,,,,485.28,342.11,139.35,641.76,1096.51,103.12,93.86,87.47,,49.07,28173.74717,,,,,,,,,,,
Verardo et al. (2002),Arabica,Unspecified,Immersion,mean,,mg/kg,7545.16,2624.44,2381.53,,6109.84,377.55,6388.98,,,,1696.00,1945.15,,,,,623.93,355.27,139.35,664.68,1357.59,123.74,140.79,131.20,,49.07,32654.26773,,,,,,,,,,,
Verardo et al. (2002),Blend,Unspecified,Immersion,mean,Decaf,mg/kg,5564.98,1798.68,1357.47,,6246.38,188.78,4501.08,,,,1424.00,1431.85,,,,,415.95,210.53,119.45,939.72,1549.04,82.49,70.40,87.47,,73.60,26061.86231,,,,,,,,,,,
Verardo et al. (2002),Blend,Unspecified,Immersion,mean,Decaf,mg/kg,5633.27,2370.99,1381.29,,7645.84,356.58,5941.00,,,,1712.00,1783.05,,,,,531.49,263.16,139.35,1123.08,1931.95,144.36,140.79,131.20,,73.60,31303.0084,,,,,,,,,,,
Verardo et al. (2002),Blend,Green,Immersion,mean,,mg/kg,12256.62,32.70,5620.40,,2764.79,62.93,341.31,,,,192.00,,,,,,,,,,678.79,,,,,,21949.5508,,,,,,,,,,,
Verardo et al. (2002),Blend,Green,Immersion,mean,,mg/kg,12222.48,425.14,5715.66,,4642.11,104.88,607.97,,,,176.00,,,,,,,,,68.76,765.82,,,,,,24728.82394,,,,,,,,,,,
Verardo et al. (2002),Blend,Light,Immersion,mean,,mg/kg,10925.12,1193.67,5096.47,,4027.72,83.90,3114.49,,,,512.00,378.22,,,,,46.22,13.16,19.91,206.28,905.06,,,21.87,,,26544.08373,,,,,,,,,,,
Verardo et al. (2002),Blend,Light,Immersion,mean,,mg/kg,10754.42,2011.26,5167.91,,6007.44,251.70,3797.12,,,,784.00,472.78,,,,,69.33,13.16,19.91,229.20,1218.35,,23.47,21.87,,,30841.90207,,,,,,,,,,,
Verardo et al. (2002),Blend,Medium,Immersion,mean,,mg/kg,7715.87,1226.38,2738.76,,6007.44,104.88,3477.14,,,,752.00,648.38,,,,,207.98,92.11,39.82,389.64,905.06,41.25,23.47,43.73,,,24413.8813,,,,,,,,,,,
Verardo et al. (2002),Blend,Medium,Immersion,mean,,mg/kg,7613.45,1659.70,2834.02,,6792.51,188.78,4799.73,,,,1104.00,1364.31,,,,,254.19,171.05,39.82,412.56,1653.47,41.25,46.93,87.47,,24.53,29087.74882,,,,,,,,,,,
Verardo et al. (2002),Blend,Dark,Immersion,mean,,mg/kg,6316.09,760.35,1476.55,,9215.96,125.85,2943.84,,,,929.60,756.45,,,,,115.54,92.11,99.54,1031.40,1096.51,103.12,46.93,65.60,,24.53,25199.96508,,,,,,,,,,,
Verardo et al. (2002),Blend,Dark,Immersion,mean,,,6350.23,1479.83,1595.62,,10615.42,230.73,4181.10,,,,1344.00,1566.93,,,,,207.98,210.53,79.63,1123.08,1688.28,82.49,70.40,87.47,,24.53,30938.24199,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Green,Immersion,,,mg/kg,,,,,30100,,,,,,,,,,,,,,,,,,,,,,30100,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Green,Immersion,,,mg/kg,,,,,28400,,,,,,,,,,,,,,,,,,,,,,28400,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Green,Immersion,,,mg/kg,,,,,24600,,,,,,,,,,,,,,,,,,,,,,24600,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Green,Immersion,,,mg/kg,,,,,30400,,,,,,,,,,,,,,,,,,,,,,30400,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Steamed,Immersion,,,mg/kg,,,,,27300,,,,,,,,,,,,,,,,,,,,,,27300,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Steamed,Immersion,,,mg/kg,,,,,26500,,,,,,,,,,,,,,,,,,,,,,26500,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Steamed,Immersion,,,mg/kg,,,,,31300,,,,,,,,,,,,,,,,,,,,,,31300,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Unspecified,Immersion,,Decaf,mg/kg,,,,,25400,,,,,,,,,,,,,,,,,,,,,,25400,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Unspecified,Immersion,,Decaf,mg/kg,,,,,29600,,,,,,,,,,,,,,,,,,,,,,29600,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Unspecified,Immersion,,Decaf,mg/kg,,,,,30900,,,,,,,,,,,,,,,,,,,,,,30900,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Dark,Immersion,,,mg/kg,,,,,46400,,,,,,,,,,,,,,,,,,,,,,46400,,,,,,,,,,,
Hucke and Maier (1985),Arabica,Unspecified,Immersion,,,mg/kg,,,,,12000,,,,,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,
Hucke and Maier (1985),Arabica,Unspecified,Immersion,,,mg/kg,,,,,18100,,,,,,,,,,,,,,,,,,,,,,18100,,,,,,,,,,,
Hucke and Maier (1985),Arabica,Unspecified,Immersion,,,mg/kg,,,,,11500,,,,,,,,,,,,,,,,,,,,,,11500,,,,,,,,,,,
Hucke and Maier (1985),Arabica,Unspecified,Immersion,,,mg/kg,,,,,19000,,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,9800,,,,,,,,,,,,,,,,,,,,,,9800,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,13800,,,,,,,,,,,,,,,,,,,,,,13800,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,8700,,,,,,,,,,,,,,,,,,,,,,8700,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,13900,,,,,,,,,,,,,,,,,,,,,,13900,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,8700,,,,,,,,,,,,,,,,,,,,,,8700,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,13900,,,,,,,,,,,,,,,,,,,,,,13900,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,12100,,,,,,,,,,,,,,,,,,,,,,12100,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,15700,,,,,,,,,,,,,,,,,,,,,,15700,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,8100,,,,,,,,,,,,,,,,,,,,,,8100,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,8800,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,10000,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,11800,,,,,,,,,,,,,,,,,,,,,,11800,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,30100,,,,,,,,,,,,,,,,,,,,,,30100,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,34700,,,,,,,,,,,,,,,,,,,,,,34700,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,37900,,,,,,,,,,,,,,,,,,,,,,37900,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,43700,,,,,,,,,,,,,,,,,,,,,,43700,,,,,,,,,,,
Hucke and Maier (1985),Blend,Unspecified,Immersion,,,mg/kg,,,,,51500,,,,,,,,,,,,,,,,,,,,,,51500,,,,,,,,,,,
Hucke and Maier (1985),Arabica,Green,Immersion,,,mg/kg,,,,,10770,,,,,,,,,,,,,,,,,,,,,,10770,,,,,,,,,,,
Hucke and Maier (1985),Arabica,Steamed,Immersion,,,mg/kg,,,,,12440,,,,,,,,,,,,,,,,,,,,,,12440,,,,,,,,,,,
Hucke and Maier (1985),Arabica,Green,Immersion,,,mg/kg,,,,,6200,,,,,,,,,,,,,,,,,,,,,,6200,,,,,,,,,,,
Hucke and Maier (1985),Arabica,Steamed,Immersion,,,mg/kg,,,,,5690,,,,,,,,,,,,,,,,,,,,,,5690,,,,,,,,,,,
Hucke and Maier (1985),Robusta,Green,Immersion,,,mg/kg,,,,,4630,,,,,,,,,,,,,,,,,,,,,,4630,,,,,,,,,,,
Hucke and Maier (1985),Robusta,Steamed,Immersion,,,mg/kg,,,,,5590,,,,,,,,,,,,,,,,,,,,,,5590,,,,,,,,,,,
Hucke and Maier (1985),Robusta,Green,Immersion,,,mg/kg,,,,,4670,,,,,,,,,,,,,,,,,,,,,,4670,,,,,,,,,,,
Hucke and Maier (1985),Robusta,Steamed,Immersion,,,mg/kg,,,,,5760,,,,,,,,,,,,,,,,,,,,,,5760,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Green,Immersion,,,mg/kg,,,,,8660,,,,,,,,,,,,,,,,,,,,,,8660,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Green,Immersion,,,mg/kg,,,,,9310,,,,,,,,,,,,,,,,,,,,,,9310,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Green,Immersion,,,mg/kg,,,,,9840,,,,,,,,,,,,,,,,,,,,,,9840,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Steamed,Immersion,,,mg/kg,,,,,10950,,,,,,,,,,,,,,,,,,,,,,10950,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Steamed,Immersion,,,mg/kg,,,,,11800,,,,,,,,,,,,,,,,,,,,,,11800,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Steamed,Immersion,,,mg/kg,,,,,1390,,,,,,,,,,,,,,,,,,,,,,1390,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Unspecified,Immersion,,Decaf,mg/kg,,,,,10750,,,,,,,,,,,,,,,,,,,,,,10750,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Unspecified,Immersion,,Decaf,mg/kg,,,,,11560,,,,,,,,,,,,,,,,,,,,,,11560,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Unspecified,Immersion,,Decaf,mg/kg,,,,,10980,,,,,,,,,,,,,,,,,,,,,,10980,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Light,Immersion,,,mg/kg,,,,,11380,,,,,,,,,,,,,,,,,,,,,,11380,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Light,Immersion,,,mg/kg,,,,,7740,,,,,,,,,,,,,,,,,,,,,,7740,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Light,Immersion,,,mg/kg,,,,,7590,,,,,,,,,,,,,,,,,,,,,,7590,,,,,,,,,,,
Hucke and Maier (1985),Unspecified,Dark,Immersion,,,mg/kg,,,,,16620,,,,,,,,,,,,,,,,,,,,,,16620,,,,,,,,,,,
Scholz and Maier (1990),Robusta,Green,Solvent,,,mg/kg,,,,,5470,,,,,,,,,,,,,,,,,,,,,,5470,,,,,,,,,,,
Scholz and Maier (1990),Robusta,Light,Solvent,,,mg/kg,,,,,7510,,,,,,,,,,,,,,,,,,,,,,7510,,,,,,,,,,,
Scholz and Maier (1990),Robusta,Dark,Solvent,,,mg/kg,,,,,4900,,,,,,,,,,,,,,,,,,,,,,4900,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Green,Immersion,mean,,mg/kg,4330,,3930,,,,,,,,,,,,,,,,,,,,,,,,8260,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Green,Immersion,mean,,mg/kg,6050,,3280,,,,5360,,,,,,,,,,,,,,,,,,,,14690,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Light,Immersion,mean,,mg/kg,9430,,6980,,,,9530,,,,,,,,,,,,,,,,,,,,25940,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Light,Immersion,mean,,mg/kg,14260,,7900,,,,24700,,,,,,,,,,,,,,,,,,,,46860,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Medium,Immersion,mean,,mg/kg,13880,,,,,,27800,,,,,,,,,,,,,,,,,,,,41680,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Dark,Immersion,mean,,mg/kg,12040,9460,,,,,47350,,,,,,,,,,,,,,,,,,,,68850,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Green,Immersion,mean,,mg/kg,6850,,6480,,,,4240,,,,,,,,,,,,,,,,,,,,17570,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Light,Immersion,mean,,mg/kg,11940,,7880,,,,7880,,,,,,,,,,,,,,,,,,,,27700,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Light,Immersion,mean,,mg/kg,14590,,9570,,,,29000,,,,,,,,,,,,,,,,,,,,53160,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Medium,Immersion,mean,,mg/kg,13250,,5450,,,,34570,,,,,,,,,,,,,,,,,,,,53270,,,,,,,,,,,
"Chindapan, Soydok, and Devahastin (2019)",Robusta,Dark,Immersion,mean,,mg/kg,13350,13370,,,,,48520,,,,,,,,,,,,,,,,,,,,75240,,,,,,,,,,,
