Source,Type,Roast,Extraction,Stat,Other,Units,Citric,Formic,Malic,Pyruvic,Quinic,Succinic,Acetic,Oxalic,Fumaric,Tartaric,Lactic,Glycolic,Nitric,Mesaconic ,Maleic,Isocitric,Citraconic,Propionic,2-Furoic ,Pyroglutamic,Phosphoric,Levulinic Acid,Methylsuccinic,Nicotinic,Ascorbic,Hydroxybenzoic,Total,Notes , , , , , , , , , , 
Muller & Hoffman (2005),Arabica,Green,Solvent,mean,,mg/kg,8500,120,4100,,2500,,740,,,,1200,,,,,,,,,12,1000,,,,,,,,,,,,,,,,,
"Feldman, Ryder, and Kung (1969)",Arabica,Dark,Solvent,mean,,mg/kg,180,,180,510,3500,64,,350,140,350,770,,,,85,,,,,,,,,,,,,,,,,,,,,,,
"Feldman, Ryder, and Kung (1969)",Arabica,Medium,Solvent,,,,350,,150,580,2700,55,,470,72,460,780,,,,38,,,,,,,,,,,,,,,,,,,,,,,
"Feldman, Ryder, and Kung (1969)",Arabica,Dark,Solvent,,,,270,,390,280,4900,16,,240,120,410,580,,,,380,,,,,,,,,,,,,,,,,,,,,,,
"Feldman, Ryder, and Kung (1969)",Arabica,Medium,Solvent,,,,420,,25,500,2900,76,,290,48,610,550,,,,200,,,,,,,,,,,,,,,,,,,,,,,
"Feldman, Ryder, and Kung (1969)",Robusta,Dark,Solvent,,,,690,,300,580,6500,110,,440,280,790,660,,,,85,,,,,,,,,,,,,,,,,,,,,,,
"Feldman, Ryder, and Kung (1969)",Robusta,Medium,Solvent,,,,750,,260,850,7100,67,,490,230,930,880,,,,540,,,,,,,,,,,,,,,,,,,,,,,
International Coffee Organization (1991),Arabica,Unspecified,immersion,mean,calc using brew ratio,mg/kg,768333.3333,,228333.3333,,825000,,376116.6667,,,,324166.6667,,,,,,,,,,7733,,,,,,,,,,,,,,,,,
International Coffee Organization (1991),Arabica,Unspecified,immersion,,,,733333.3333,,272783.3333,,850000,,348333.3333,,,,513883.3333,,,,,,,,,,8200,,,,,,,,,,,,,,,,,
International Coffee Organization (1991),Arabica,Unspecified,immersion,,,,541666.6667,,198883.3333,,725550,,404450,,,,182783.3333,,,,,,,,,,6833,,,,,,,,,,,,,,,,,
International Coffee Organization (1991),Arabica,Unspecified,immersion,,,,553333.3333,,204166.6667,,638883.3333,,311666.6667,,,,312216.6667,,,,,,,,,,8000,,,,,,,,,,,,,,,,,
International Coffee Organization (1991),Arabica,Unspecified,immersion,,,,647216.6667,,218333.3333,,580550,,252216.6667,,,,201666.6667,,,,,,,,,,8633,,,,,,,,,,,,,,,,,
International Coffee Organization (1991),Arabica,Unspecified,immersion,,,,572216.6667,,182216.6667,,875000,,435000,,,,94450,,,,,,,,,,7500,,,,,,,,,,,,,,,,,
International Coffee Organization (1991),Arabica,Unspecified,immersion,,,,592216.6667,,167216.6667,,927783.3333,,403333.3333,,,,209450,,,,,,,,,,7567,,,,,,,,,,,,,,,,,
Ahmed et al. (2019),Arabica,Unspecified,Immersion,mean,,mg/kg,381,1272,,,,54,2307,,,4399,1298,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed et al. (2019),Arabica,Unspecified,Immersion,,,,969,2155,,,,96,4125,,,10877,3105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed et al. (2019),Arabica,Unspecified,Immersion,,,,1003,2329,,,,111,4563,,,11694,3373,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed et al. (2019),Arabica,Unspecified,Immersion,,,,992,2207,,,,113,4239,,,11223,3163,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed et al. (2019),Arabica,Unspecified,Immersion,,,,938,2247,,,,69,4322,,,10893,320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed et al. (2019),Arabica,Unspecified,Immersion,,,,915,2188,,,,102,4184,,,10915,2847,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed et al. (2019),Arabica,Unspecified,Immersion,,,,910,2156,,,,109,4135,,,10701,2820,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,calc using coffee grounds (14) and brew ratio (1:2),mg/kg,1022,,184,,,,1074,,,516,,,,,,,,,,,,,,220,,,,,,,,,,,,,,
